2026-09-13 23:52:33,842 INFO research.external_ocr_models: пропущено готовых: 0
2026-09-13 23:52:33,842 INFO research.external_ocr_models: gemini-31-flash-lite (google/gemini-3.1-flash-lite): 97 полос, 4 потоков, strips=1, max_side=2200
2026-09-13 23:53:59,289 INFO research.external_ocr_models: 54/97 IMG_0131_2R.jpg: ok, 2293 tok → 930 tok, $0.00196825, 5 с
2026-09-13 23:54:00,328 INFO research.external_ocr_models: 55/97 IMG_0132_1L.jpg: ok, 2293 tok → 898 tok, $0.00192025, 5 с
2026-09-13 23:54:02,351 INFO research.external_ocr_models: 56/97 IMG_0132_2R.jpg: ok, 2293 tok → 1102 tok, $0.00222625, 5 с
2026-09-13 23:54:04,732 INFO research.external_ocr_models: 57/97 IMG_0133_1L.jpg: ok, 2293 tok → 1069 tok, $0.00217675, 5 с
2026-09-13 23:54:05,254 INFO research.external_ocr_models: 58/97 IMG_0133_2R.jpg: ok, 2293 tok → 1131 tok, $0.00226975, 6 с
2026-09-13 23:54:06,062 INFO research.external_ocr_models: 59/97 IMG_0134_1L.jpg: ok, 2293 tok → 1163 tok, $0.00231775, 5 с
2026-09-13 23:54:08,350 INFO research.external_ocr_models: 60/97 IMG_0134_2R.jpg: ok, 2293 tok → 1069 tok, $0.00217675, 6 с
2026-09-13 23:54:10,345 INFO research.external_ocr_models: 61/97 IMG_0135_1L.jpg: ok, 2293 tok → 1110 tok, $0.00223825, 5 с
2026-09-13 23:54:11,048 INFO research.external_ocr_models: 62/97 IMG_0135_2R.jpg: ok, 2293 tok → 1010 tok, $0.00208825, 6 с
2026-09-13 23:54:11,928 INFO research.external_ocr_models: 63/97 IMG_0136_1L.jpg: ok, 2293 tok → 1141 tok, $0.00228475, 6 с
2026-09-13 23:54:13,835 INFO research.external_ocr_models: 64/97 IMG_0136_2R.jpg: ok, 2293 tok → 777 tok, $0.00173875, 5 с
2026-09-13 23:54:16,313 INFO research.external_ocr_models: 65/97 IMG_0137_2R.jpg: ok, 2293 tok → 961 tok, $0.00201475, 5 с
2026-09-13 23:54:17,451 INFO research.external_ocr_models: 66/97 IMG_0138_1L.jpg: ok, 2293 tok → 1037 tok, $0.00212875, 5 с
2026-09-13 23:54:19,605 INFO research.external_ocr_models: 67/97 IMG_0138_2R.jpg: ok, 2293 tok → 1068 tok, $0.00217525, 5 с
2026-09-13 23:54:22,619 INFO research.external_ocr_models: 68/97 IMG_0137_1L.jpg: ok, 2293 tok → 3587 tok, $0.00595375, 12 с
2026-09-13 23:54:22,851 INFO research.external_ocr_models: 69/97 IMG_0139_1L.jpg: ok, 2293 tok → 1396 tok, $0.00266725, 6 с
2026-09-13 23:54:24,419 INFO research.external_ocr_models: 70/97 IMG_0139_2R.jpg: ok, 2293 tok → 1541 tok, $0.00288475, 7 с
2026-09-13 23:54:28,820 INFO research.external_ocr_models: 71/97 IMG_0140_2R.jpg: ok, 2293 tok → 1279 tok, $0.00249175, 6 с
2026-09-13 23:54:29,449 INFO research.external_ocr_models: 72/97 IMG_0141_1L.jpg: ok, 2293 tok → 1543 tok, $0.00288775, 6 с
2026-09-13 23:54:31,029 INFO research.external_ocr_models: 73/97 IMG_0141_2R.jpg: ok, 2293 tok → 1263 tok, $0.00246775, 6 с
2026-09-13 23:54:32,821 INFO research.external_ocr_models: 74/97 IMG_0140_1L.jpg: ok, 2293 tok → 3639 tok, $0.00603175, 13 с
2026-09-13 23:54:36,038 INFO research.external_ocr_models: 75/97 IMG_0142_2R.jpg: ok, 2293 tok → 1357 tok, $0.00260875, 6 с
2026-09-13 23:54:36,112 INFO research.external_ocr_models: 76/97 IMG_0143_1L.jpg: ok, 2293 tok → 937 tok, $0.00197875, 5 с
2026-09-13 23:54:36,303 INFO research.external_ocr_models: 77/97 IMG_0142_1L.jpg: ok, 2293 tok → 1617 tok, $0.00299875, 7 с
2026-09-13 23:54:38,948 INFO research.external_ocr_models: 78/97 IMG_0143_2R.jpg: ok, 2293 tok → 1335 tok, $0.00257575, 6 с
2026-09-13 23:54:41,739 INFO research.external_ocr_models: 79/97 IMG_0144_2R.jpg: ok, 2293 tok → 1219 tok, $0.00240175, 5 с
2026-09-13 23:54:42,321 INFO research.external_ocr_models: 80/97 IMG_0144_1L.jpg: ok, 2293 tok → 1411 tok, $0.00268975, 6 с
2026-09-13 23:54:42,526 INFO research.external_ocr_models: 81/97 IMG_0145_1L.jpg: ok, 2293 tok → 1185 tok, $0.00235075, 6 с
2026-09-13 23:54:43,878 INFO research.external_ocr_models: 82/97 IMG_0145_2R.jpg: ok, 2293 tok → 849 tok, $0.00184675, 5 с
2026-09-13 23:54:47,269 INFO research.external_ocr_models: 83/97 IMG_0146_1L.jpg: ok, 2293 tok → 1041 tok, $0.00213475, 5 с
