issue,page,diagnosis,expect,v3_tables,v3_dirty,v3_crossed,v3_outside,v3_foreign,v4_tables,v4_dirty,v4_crossed,v4_outside,v4_foreign,v4_diagrams,v4_drawings,v4_kind_ok
1972_12,93,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1972_12,94,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1972_12,96,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1972_12,97,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1973_01,78,кусок_блок_схемы,,1,0,0,0,0.0083,0,0,0,1,0.0,1,0,1
1973_01,87,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1973_03,75,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1973_04,55,рисунок,нет,1,1,2,0,0.0,0,0,0,1,0.0,0,2,1
1973_04,57,рисунок,нет,1,0,0,0,0.0005,0,0,0,1,0.0,1,1,0
1973_04,58,рисунок,нет,0,0,0,0,0.0,0,0,0,1,0.0,0,2,1
1973_05,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1973_05,85,fr_шум,таблица,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1973_06,22,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1973_06,77,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1973_07,80,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,1,0,
1973_08,18,fr_нашёл,таблица,1,0,0,0,0.0,1,0,0,1,0.0036,0,0,1
1973_08,22,fr_нашёл,таблица,1,0,0,6,0.0,1,0,0,6,0.0,0,0,1
1973_08,23,режет_текст,таблица,1,0,0,0,0.0161,1,0,0,1,0.0,0,0,1
1973_08,24,текст_рядом,таблица,1,0,0,0,0.0084,1,1,0,1,0.0007,0,0,1
1973_08,25,без_границ,таблица,1,1,0,0,0.0006,1,0,0,0,0.0913,0,0,1
1973_08,31,не_оценил,,2,0,0,0,0.1058,2,1,0,0,0.1058,0,0,
1973_08,32,без_границ,таблица,1,0,0,0,0.0,1,1,0,0,0.0871,0,0,1
1973_10,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1973_10,27,кусок_блок_схемы,,1,1,8,7,0.0108,0,0,0,0,0.0,1,0,1
1973_10,50,без_границ,таблица,1,2,30,1,0.0165,1,0,0,0,0.1435,0,0,1
1973_10,51,fr_шум,нет,0,0,0,0,0.0,0,0,4,1,0.0,1,0,
1973_11,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1973_11,73,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1973_12,85,режет_текст,таблица,1,0,2,0,0.0224,1,0,0,1,0.0146,0,0,1
1973_12,86,перекос,таблица,1,1,7,0,0.0073,1,0,0,1,0.0,0,0,1
1973_12,92,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1973_12,94,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1973_12,96,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1973_12,97,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1974_01,36,кусок_блок_схемы,,1,0,0,0,0.0206,0,0,0,0,0.0,1,0,1
1974_01,44,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1974_01,68,режет_текст,таблица,1,0,0,6,0.0,1,0,0,6,0.0,0,0,1
1974_02,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1974_02,28,режет_текст,таблица,1,0,0,0,0.0,1,0,0,0,0.0,0,0,1
1974_03,3,рамка_страницы,нет,1,0,1,0,0.0,1,0,0,0,0.0,0,0,
1974_03,89,кусок_блок_схемы,,1,1,4,3,0.007,0,0,0,0,0.0,1,0,1
1974_04,62,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,1,0,
1974_04,63,блок_схема,нет,1,0,0,0,0.0046,0,0,0,0,0.0,1,0,1
1974_05,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1974_05,49,есть_ещё_таблицы,таблица,3,0,0,0,0.0,3,0,0,0,0.0,0,0,1
1974_06,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1974_06,25,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1974_06,29,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1974_06,97,текст_рядом,таблица,1,1,5,5,0.1464,2,0,0,10,0.0,0,0,1
1974_07,12,схема_целиком,нет,1,0,0,0,0.0,0,0,0,0,0.0,1,0,1
1974_07,16,схема_целиком,нет,1,0,0,0,0.0,0,0,0,1,0.0,1,0,1
1974_08,58,режет_текст,таблица,1,0,1,3,0.2141,1,0,0,4,0.0,0,0,1
1974_09,77,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1974_10,3,рамка_страницы,нет,1,0,1,0,0.0,1,0,0,0,0.0,0,0,
1974_10,56,line_art,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,1,1
1974_10,96,режет_текст,таблица,1,0,1,1,0.0557,1,0,0,1,0.0,0,0,1
1974_11,17,без_границ,таблица,2,0,0,0,0.0239,2,0,0,1,0.0887,0,0,1
1974_12,19,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1974_12,34,схема_целиком,нет,1,0,0,0,0.0123,0,0,0,0,0.0,1,0,1
1974_12,38,кусок_блок_схемы,,1,0,2,4,0.0029,0,0,0,0,0.0,1,0,1
1974_12,40,кусок_блок_схемы,,1,1,7,8,0.0,0,0,0,0,0.0,1,0,1
1974_12,42,кусок_блок_схемы,,1,2,4,3,0.0,0,0,0,0,0.0,1,0,1
1974_12,46,режет_текст,таблица,1,0,0,0,0.0,1,1,0,0,0.0,0,0,1
1975_01,43,по_буквам,,1,0,0,0,0.7403,0,0,0,0,0.0,0,0,
1975_02,93,режет_текст,таблица,1,0,0,0,0.0025,1,0,0,1,0.0,0,0,1
1975_03,3,рамка_страницы,нет,1,0,0,0,0.0,1,1,0,0,0.0005,0,0,
1975_03,44,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1975_04,4,рамка_страницы,нет,1,0,0,0,0.0,0,0,0,0,0.0,0,0,
1975_05,12,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1975_06,20,текст_рядом,таблица,1,0,1,0,0.0004,1,0,0,1,0.0,0,0,1
1975_06,71,не_оценил,,3,0,1,0,0.0002,3,0,0,0,0.0002,0,0,
1975_07,42,перекос,таблица,1,1,5,0,0.0,1,0,0,0,0.0,0,0,1
1975_07,44,перекос,таблица,1,1,9,0,0.0964,1,0,2,1,0.0017,0,0,1
1975_07,59,график,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,1,1
1975_07,69,текст_рядом,таблица,1,0,0,7,0.0,1,0,0,7,0.0,0,0,1
1975_07,96,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1975_08,3,рамка_страницы,нет,1,0,0,0,0.0,1,1,0,0,0.0,0,0,
1975_08,87,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1975_10,59,fr_нашёл,таблица,1,0,0,0,0.0,1,0,0,0,0.0,0,0,1
1975_11,68,график,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,1,1
1975_11,69,график,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,1,1
1975_11,73,перекос,таблица,1,1,1,0,0.0,1,0,0,0,0.0,0,0,1
1975_11,97,без_границ,таблица,2,0,0,2,0.3144,2,0,0,5,0.0606,0,0,1
1976_01,3,рамка_страницы,нет,1,0,4,0,0.0,1,0,0,0,0.0,0,0,
1976_01,37,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1976_02,2,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1976_02,4,рамка_страницы,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1976_03,32,блок_схема,нет,1,0,0,0,0.0,0,0,0,0,0.0,1,0,1
1976_03,33,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,1,0,
1976_03,45,баннер_призрак,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1976_04,3,рамка_страницы,нет,1,0,2,0,0.0,1,0,0,0,0.0,0,0,
1976_04,38,текст_рядом,таблица,1,0,2,0,0.095,1,0,0,3,0.0,0,0,1
1976_05,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1976_05,46,есть_ещё_таблицы,таблица,3,0,2,6,0.0,3,0,2,6,0.0,0,0,1
1976_06,41,график,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,1,1
1976_08,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1976_08,30,текст_рядом,таблица,1,0,0,0,0.0,1,0,0,1,0.0,0,0,1
1976_08,40,без_границ,таблица,1,0,0,0,0.0,1,0,0,0,0.0506,0,0,1
1976_11,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1976_12,3,рамка_страницы,нет,1,0,0,0,0.0,1,0,0,0,0.0,0,0,
1976_12,23,режет_текст,таблица,1,0,0,2,0.0227,1,0,0,3,0.0,0,0,1
1976_12,24,текст_рядом,таблица,1,1,1,2,0.1922,1,0,0,4,0.0005,0,0,1
1976_12,25,режет_текст,таблица,2,0,1,2,0.2548,2,0,0,6,0.0,0,0,1
1976_12,30,текст_рядом,таблица,1,1,52,0,0.0431,1,0,0,1,0.0556,0,0,1
