2026-09-14 00:00:18,175 INFO research.external_ocr_models: пропущено готовых: 0
2026-09-14 00:00:18,175 INFO research.external_ocr_models: deepseek-v41-flash (deepseek/deepseek-v4.1-flash): 97 полос, 4 потоков, strips=2, max_side=2200
2026-09-14 00:02:35,677 INFO research.external_ocr_models: 74/97 IMG_0141_1L.jpg: ok, 2961 tok → 1690 tok, $0.001345254, 10 с
2026-09-14 00:02:38,682 INFO research.external_ocr_models: 75/97 IMG_0142_2R.jpg: ok, 2961 tok → 1320 tok, $0.001123254, 8 с
2026-09-14 00:02:39,205 INFO research.external_ocr_models: 76/97 IMG_0142_1L.jpg: ok, 2961 tok → 1691 tok, $0.001345854, 9 с
2026-09-14 00:02:42,607 INFO research.external_ocr_models: 77/97 IMG_0143_1L.jpg: ok, 2961 tok → 900 tok, $0.000871254, 7 с
2026-09-14 00:02:43,735 INFO research.external_ocr_models: 78/97 IMG_0143_2R.jpg: ok, 2961 tok → 1291 tok, $0.001105854, 8 с
2026-09-14 00:02:45,573 INFO research.external_ocr_models: 79/97 IMG_0144_1L.jpg: ok, 2961 tok → 1109 tok, $0.000996654, 7 с
2026-09-14 00:02:47,120 INFO research.external_ocr_models: 80/97 IMG_0144_2R.jpg: ok, 2961 tok → 1291 tok, $0.001105854, 8 с
2026-09-14 00:02:49,796 INFO research.external_ocr_models: 81/97 IMG_0145_1L.jpg: ok, 2961 tok → 1070 tok, $0.000973254, 7 с
2026-09-14 00:02:50,723 INFO research.external_ocr_models: 82/97 IMG_0145_2R.jpg: ok, 2961 tok → 974 tok, $0.000915654, 7 с
2026-09-14 00:02:53,105 INFO research.external_ocr_models: 83/97 IMG_0146_1L.jpg: ok, 2961 tok → 1184 tok, $0.001041654, 7 с
2026-09-14 00:02:54,928 INFO research.external_ocr_models: 84/97 IMG_0146_2R.jpg: ok, 2961 tok → 1200 tok, $0.001051254, 7 с
2026-09-14 00:02:57,240 INFO research.external_ocr_models: 85/97 IMG_0147_1L.jpg: ok, 2961 tok → 1053 tok, $0.000963054, 7 с
2026-09-14 00:02:58,854 INFO research.external_ocr_models: 86/97 IMG_0147_2R.jpg: ok, 2961 tok → 1363 tok, $0.001149054, 8 с
2026-09-14 00:03:01,291 INFO research.external_ocr_models: 87/97 IMG_0148_1L.jpg: ok, 2961 tok → 1324 tok, $0.001125654, 8 с
2026-09-14 00:03:03,672 INFO research.external_ocr_models: 88/97 IMG_0148_2R.jpg: ok, 2961 tok → 1316 tok, $0.001120854, 8 с
2026-09-14 00:03:06,095 INFO research.external_ocr_models: 89/97 IMG_0149_1L.jpg: ok, 2961 tok → 1420 tok, $0.001183254, 8 с
2026-09-14 00:03:07,242 INFO research.external_ocr_models: 90/97 IMG_0149_2R.jpg: ok, 2961 tok → 1364 tok, $0.001149654, 8 с
2026-09-14 00:03:10,023 INFO research.external_ocr_models: 91/97 IMG_0150_1L.jpg: ok, 2961 tok → 1174 tok, $0.001035654, 8 с
2026-09-14 00:03:11,035 INFO research.external_ocr_models: 92/97 IMG_0150_2R.jpg: ok, 2961 tok → 1126 tok, $0.001006854, 7 с
2026-09-14 00:03:13,822 INFO research.external_ocr_models: 93/97 IMG_0151_2R.jpg: ok, 2961 tok → 1144 tok, $0.001017654, 6 с
2026-09-14 00:03:14,945 INFO research.external_ocr_models: 94/97 IMG_0151_1L.jpg: ok, 2961 tok → 1234 tok, $0.001071654, 8 с
2026-09-14 00:03:15,282 INFO research.external_ocr_models: 95/97 IMG_0152_1L.jpg: ok, 2961 tok → 569 tok, $0.000672654, 5 с
2026-09-14 00:03:19,078 INFO research.external_ocr_models: 96/97 IMG_0152_2R.jpg: ok, 2961 tok → 1245 tok, $0.001078254, 8 с
2026-09-14 00:03:20,343 INFO research.external_ocr_models: 97/97 IMG_0153_1L.jpg: ok, 2961 tok → 1026 tok, $0.000946854, 6 с
2026-09-14 00:03:20,343 INFO research.external_ocr_models: прогон занял 182 с
2026-09-14 00:03:20,355 INFO research.external_ocr_models: готово: 97 полос, сбоев 0, стоимость $0.0940 (0.097 ¢/полоса), сводка /mnt/SYSTEM/raw/mts/pack1_external_ocr/deepseek-v41-flash-s2/1966/03/summary.csv
