2026-09-13 23:55:06,772 INFO research.external_ocr_models: пропущено готовых: 0
2026-09-13 23:55:06,772 INFO research.external_ocr_models: qwen38-flash (qwen/qwen3.8-flash): 97 полос, 4 потоков, strips=1, max_side=2200
2026-09-13 23:58:58,690 INFO research.external_ocr_models: 74/97 IMG_0141_1L.jpg: ok, 3720 tok → 1517 tok, $0.001133774, 15 с
2026-09-13 23:59:08,710 INFO research.external_ocr_models: 75/97 IMG_0143_1L.jpg: ok, 3720 tok → 768 tok, $0.000781744, 10 с
2026-09-13 23:59:09,393 INFO research.external_ocr_models: 76/97 IMG_0142_2R.jpg: ok, 3720 tok → 1215 tok, $0.000991834, 14 с
2026-09-13 23:59:10,158 INFO research.external_ocr_models: 77/97 IMG_0142_1L.jpg: ok, 3720 tok → 1471 tok, $0.001112154, 20 с
2026-09-13 23:59:14,801 INFO research.external_ocr_models: 78/97 IMG_0143_2R.jpg: ok, 3720 tok → 1216 tok, $0.000992304, 16 с
2026-09-13 23:59:22,840 INFO research.external_ocr_models: 79/97 IMG_0144_1L.jpg: ok, 3720 tok → 1021 tok, $0.000900654, 14 с
2026-09-13 23:59:23,990 INFO research.external_ocr_models: 80/97 IMG_0144_2R.jpg: ok, 3720 tok → 1016 tok, $0.000898304, 14 с
2026-09-13 23:59:25,600 INFO research.external_ocr_models: 81/97 IMG_0145_1L.jpg: ok, 3720 tok → 964 tok, $0.000873864, 15 с
2026-09-13 23:59:26,270 INFO research.external_ocr_models: 82/97 IMG_0145_2R.jpg: ok, 3720 tok → 840 tok, $0.000815584, 11 с
2026-09-13 23:59:37,681 INFO research.external_ocr_models: 83/97 IMG_0147_1L.jpg: ok, 3720 tok → 878 tok, $0.000833444, 12 с
2026-09-13 23:59:38,031 INFO research.external_ocr_models: 84/97 IMG_0146_2R.jpg: ok, 3720 tok → 1038 tok, $0.000908644, 14 с
2026-09-13 23:59:38,469 INFO research.external_ocr_models: 85/97 IMG_0146_1L.jpg: ok, 3720 tok → 1033 tok, $0.000906294, 15 с
2026-09-13 23:59:43,350 INFO research.external_ocr_models: 86/97 IMG_0147_2R.jpg: ok, 3720 tok → 1182 tok, $0.000976324, 17 с
2026-09-13 23:59:51,710 INFO research.external_ocr_models: 87/97 IMG_0148_1L.jpg: ok, 3720 tok → 1126 tok, $0.000950004, 14 с
2026-09-13 23:59:51,750 INFO research.external_ocr_models: 88/97 IMG_0149_1L.jpg: ok, 3720 tok → 1176 tok, $0.000973504, 13 с
2026-09-13 23:59:51,967 INFO research.external_ocr_models: 89/97 IMG_0148_2R.jpg: ok, 3720 tok → 1145 tok, $0.000958934, 14 с
2026-09-14 00:00:01,481 INFO research.external_ocr_models: 90/97 IMG_0149_2R.jpg: ok, 3720 tok → 1183 tok, $0.000976794, 18 с
2026-09-14 00:00:03,565 INFO research.external_ocr_models: 91/97 IMG_0151_1L.jpg: ok, 3720 tok → 1115 tok, $0.000944834, 11 с
2026-09-14 00:00:05,356 INFO research.external_ocr_models: 92/97 IMG_0150_1L.jpg: ok, 3720 tok → 989 tok, $0.000885614, 13 с
2026-09-14 00:00:06,494 INFO research.external_ocr_models: 93/97 IMG_0150_2R.jpg: ok, 3720 tok → 951 tok, $0.000867754, 14 с
2026-09-14 00:00:11,207 INFO research.external_ocr_models: 94/97 IMG_0152_1L.jpg: ok, 3720 tok → 499 tok, $0.000655314, 7 с
2026-09-14 00:00:13,777 INFO research.external_ocr_models: 95/97 IMG_0151_2R.jpg: ok, 3720 tok → 1037 tok, $0.000908174, 12 с
2026-09-14 00:00:17,838 INFO research.external_ocr_models: 96/97 IMG_0152_2R.jpg: ok, 3720 tok → 1240 tok, $0.001003584, 12 с
2026-09-14 00:00:17,940 INFO research.external_ocr_models: 97/97 IMG_0153_1L.jpg: ok, 3720 tok → 1037 tok, $0.000908174, 11 с
2026-09-14 00:00:17,940 INFO research.external_ocr_models: прогон занял 311 с
2026-09-14 00:00:17,951 INFO research.external_ocr_models: готово: 97 полос, сбоев 2, стоимость $0.0825 (0.085 ¢/полоса), сводка /mnt/SYSTEM/raw/mts/pack1_external_ocr/qwen38-flash/1966/03/summary.csv
2026-09-14 00:07:52,228 INFO research.external_ocr_models: пропущено готовых: 95
2026-09-14 00:07:52,228 INFO research.external_ocr_models: qwen38-flash (qwen/qwen3.8-flash): 2 полос, 4 потоков, strips=1, max_side=2200
2026-09-14 00:08:02,933 INFO research.external_ocr_models: 1/2 IMG_0137_2R.jpg: ok, 3720 tok → 829 tok, $0.00094763, 10 с
2026-09-14 00:08:04,030 INFO research.external_ocr_models: 2/2 IMG_0140_2R.jpg: ok, 3720 tok → 1118 tok, $0.000946244, 11 с
2026-09-14 00:08:04,031 INFO research.external_ocr_models: прогон занял 12 с
2026-09-14 00:08:04,041 INFO research.external_ocr_models: готово: 2 полос, сбоев 0, стоимость $0.0019 (0.095 ¢/полоса), сводка /mnt/SYSTEM/raw/mts/pack1_external_ocr/qwen38-flash/1966/03/summary.csv
